저장시간,내부온도,내부습도
2018-05-10 09:35:00,19.7,64.2
2018-05-10 09:36:00,19.7,64.7
2018-05-10 09:37:00,19.8,64.2
2018-05-10 09:38:00,19.8,63.6
2018-05-10 09:39:00,19.8,63.5
2018-05-10 09:40:00,19.8,63.5
2018-05-10 09:41:00,19.8,63.5
2018-05-10 09:42:00,19.8,63.5
2018-05-10 09:43:00,19.8,63.2
2018-05-10 09:44:00,19.8,63.2
2018-05-10 09:45:00,19.9,62.5
2018-05-10 09:46:00,19.9,62.9
2018-05-10 09:47:00,20.1,63.8
2018-05-10 09:48:00,20.2,63.6
2018-05-10 09:49:00,20.3,63.9
2018-05-10 09:50:00,20.4,63.1
2018-05-10 09:51:00,20.6,61.9
2018-05-10 09:52:00,20.9,61.4
2018-05-10 09:53:00,21.1,61.6
2018-05-10 09:54:00,21.3,61.6
2018-05-10 09:55:00,21.3,61.3
2018-05-10 09:56:00,21.3,61.0
2018-05-10 09:57:00,21.3,60.9
2018-05-10 09:58:00,21.2,60.7
2018-05-10 09:59:00,21.2,60.6
2018-05-10 10:00:00,21.1,60.8
2018-05-10 10:01:00,21.0,60.7
2018-05-10 10:02:00,20.9,60.5
2018-05-10 10:03:00,20.9,60.6
2018-05-10 10:04:00,20.9,60.6
2018-05-10 10:05:00,20.9,61.3
